Local Employees,Total Employees,Local Sales,Total Sales,International,Ad Spending,New Location,Ownership Type,Industry Type,Industry Category,Age,Buyer
0,0,0,0,0,B,M,,80,C,2,1
0,0,0,0,0,E,M,,80,C,3,1
0,0,0,0,0,D,S,Private,80,C,12,0
0,0,0,0,0,A,M,,80,C,12,0
0,0,0,0,0,D,M,,80,C,4,0
0,0,0,0,0,B,S,,80,C,4,0
0,0,0,0,0,D,M,,80,C,12,0
0,0,0,0,0,D,M,,80,C,12,0
0,0,0,0,0,D,M,,80,C,6,0
0,0,0,0,0,B,M,,80,C,5,0
0,0,0,0,0,C,S,,80,C,4,0
0,0,0,0,0,C,M,,80,C,4,0
0,0,0,0,0,D,M,,80,C,4,0
0,0,0,0,0,D,N,,80,C,3,0
0,0,0,0,0,A,M,,80,C,2,1
0,0,0,0,0,D,M,,80,C,4,1
0,0,0,0,0,D,M,,80,C,9,1
0,0,0,0,0,B,M,,80,C,4,1
0,0,0,0,0,E,M,,80,C,4,1
0,0,0,0,0,B,N,,80,C,1,1
0,0,0,0,0,C,M,,80,C,1,1
0,0,0,0,0,A,S,,80,C,6,1
0,0,0,0,0,A,M,,80,C,5,1
0,0,0,0,0,C,M,,80,C,2,1
0,0,0,0,0,B,M,,80,C,4,1
0,0,0,0,0,B,M,,80,C,8,1
0,0,0,0,0,B,M,,80,C,2,1
0,0,0,0,0,A,M,,80,C,2,1
0,0,0,0,0,D,S,,80,C,2,1
0,0,0,0,0,B,S,,80,C,5,1
0,0,0,0,0,E,M,,80,C,3,1
0,0,0,0,0,B,M,,80,C,10,1
0,0,0,0,0,D,N,,80,C,1,1
0,0,0,0,0,B,M,,80,C,2,1
0,0,0,0,0,B,M,,80,C,2,1
0,0,0,0,0,E,M,,80,C,3,1
0,0,0,0,0,E,M,,80,C,3,1
0,0,0,0,0,A,N,,80,C,1,1
0,0,0,0,0,E,M,,80,C,4,1
0,0,0,0,0,B,M,,80,C,5,1
0,0,0,0,0,A,M,,80,C,2,1
0,0,0,0,0,D,M,,80,C,2,1
0,0,0,0,0,B,M,,80,C,4,1
0,0,0,0,0,E,M,,80,C,4,1
0,0,0,0,0,E,M,,80,C,1,1
0,0,0,0,0,C,M,,80,C,2,1
0,0,0,0,0,A,M,,80,C,2,1
2,2,0,0,0,D,S,,92,C,4,0
2,2,0,0,0,D,S,Private,99,C,6,0
2,2,0,0,0,D,S,,96,C,6,0
2,2,0,0,0,D,S,,91,C,6,0
2,2,0,0,0,D,S,,91,C,6,0
2,2,0,0,0,D,S,,91,C,5,0
2,2,0,0,0,D,S,,99,C,5,0
2,2,0,0,0,D,S,,99,C,5,0
2,2,0,0,0,D,S,,99,C,5,0
2,2,0,0,0,D,M,,99,C,5,0
2,2,0,0,0,D,M,,91,C,5,0
2,2,0,0,0,D,S,,91,C,5,0
2,2,0,0,0,D,M,,91,C,5,0
2,2,0,0,0,D,S,,91,C,4,0
2,2,0,0,0,D,S,,99,C,4,0
2,2,0,0,0,D,S,,99,C,4,0
2,2,0,0,0,D,M,,94,C,8,0
2,2,0,0,0,D,S,,99,C,3,0
2,2,0,0,0,D,S,,99,C,3,0
2,2,0,0,0,D,S,,99,C,3,0
2,2,0,0,0,D,S,,95,C,2,0
2,2,0,0,0,D,S,,99,C,3,1
2,2,2,2,0,D,S,Private,82,C,6,1
2,2,2,2,0,D,S,,73,C,6,1
2,2,2,2,0,E,N,,73,C,1,1
2,2,2,2,0,D,S,,89,C,8,1
2,2,2,2,0,D,S,Private,73,C,3,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,D,S,,73,C,3,1
2,2,2,2,0,D,S,,59,F,3,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,D,S,Private,27,H,2,1
2,2,2,2,0,D,S,,73,C,3,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,C,S,Private,58,F,12,0
2,2,2,2,0,A,S,Private,59,F,6,0
2,2,2,2,0,D,S,Private,72,C,12,0
2,2,2,2,0,D,S,Private,57,F,12,0
2,2,2,2,0,B,S,Private,76,C,12,0
2,2,2,2,0,D,S,Private,72,C,11,0
2,2,2,2,0,D,S,Private,56,F,12,0
2,2,2,2,0,D,M,Private,72,C,11,0
2,2,2,2,0,A,S,Private,72,C,12,0
2,2,2,2,0,B,M,Private,76,C,12,0
2,2,2,2,0,D,M,Private,76,C,12,0
2,2,2,2,0,D,S,Private,75,C,12,0
2,2,2,2,0,D,S,Private,72,C,10,0
2,2,2,2,0,B,S,Private,72,C,12,0
2,2,2,2,0,D,S,Private,59,F,12,0
2,2,2,2,0,D,S,Private,72,C,12,0
2,2,2,2,0,B,S,Private,86,C,12,0
2,2,2,2,0,C,S,Private,7,I,11,0
2,2,2,2,0,D,S,Private,39,H,11,0
2,2,2,2,0,B,S,Private,72,C,12,0
2,2,2,2,0,B,S,Private,86,C,12,0
2,2,2,2,0,D,S,Private,65,A,2,0
2,2,2,2,0,C,S,Private,17,G,10,0
2,2,2,2,0,D,S,Private,56,F,12,0
2,2,2,2,0,E,S,Private,27,H,9,0
2,2,2,2,0,A,S,Private,73,C,12,0
2,2,2,2,0,D,S,Private,59,F,12,0
2,2,2,2,0,D,S,Private,76,C,9,0
2,2,2,2,0,D,S,Private,65,A,12,0
2,2,2,2,0,D,S,Private,76,C,11,0
2,2,2,2,0,D,S,Private,39,H,12,0
2,2,2,2,0,A,S,Private,72,C,12,0
2,2,2,2,0,E,S,Private,82,C,6,0
